segment,region,company_name,website,email,phone,target_title,source_url,notes,extra_col_1,extra_col_2,extra_col_3,extra_col_4,extra_col_5,extra_col_6,extra_col_7,extra_col_8,extra_col_9,extra_col_10,extra_col_11,extra_col_12,extra_col_13,extra_col_14,extra_col_15,extra_col_16,extra_col_17,extra_col_18,extra_col_19,extra_col_20,extra_col_21,extra_col_22,extra_col_23,extra_col_24,extra_col_25,extra_col_26,extra_col_27,extra_col_28,extra_col_29,extra_col_30,extra_col_31,extra_col_32,extra_col_33,extra_col_34,extra_col_35,extra_col_36,extra_col_37,extra_col_38,extra_col_39,extra_col_40,extra_col_41,business_category,business_type,business_group
Front-office staff at semi-pro sports teams,Southeast,Alabama Steel,alabamasteelfootball.com,thealabamasteel@gmail.com,(205) 331-8219,President,https://www.sportsengine.com/org/alabama-steel,"Found email, phone number, and website from SportsEngine and Instagram.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,Football Team,Semi-Pro / Minor League Sports
Front-office staff at semi-pro sports teams,Texas,DFW Wildcats,https://www.tuflfootball.com/team/dfw-wildcats/,dfwwildcats@gmail.com,(903) 309-0518,Front Office Staff,https://www.facebook.com/p/Dfw-Wildcats-Semi-Pro-Football-Team-61555354821445/,Contact information found on Facebook page. | Contact information for the team was not found directly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,Football Team,Semi-Pro / Minor League Sports
Front-office staff at semi-pro sports teams,Northeast,Boston Bandits,https://www.bostonbandits.com,info@bostonbandits.com,,Front Office Manager,https://en.wikipedia.org/wiki/New_England_Football_League,Contact information is placeholder; needs manual lookup.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,Football Team,Semi-Pro / Minor League Sports
Front-office staff at semi-pro sports teams,Northeast,Glens Falls Greenjackets,https://www.glensfallsgreenjackets.com,info@glensfallsgreenjackets.com,,Front Office Manager,https://en.wikipedia.org/wiki/New_England_Football_League,Contact information is placeholder; needs manual lookup.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,Football Team,Semi-Pro / Minor League Sports
Front-office staff at semi-pro sports teams,Northeast,Granite State Destroyers,https://www.granitestatedestroyers.com,info@granitestatedestroyers.com,,Front Office Manager,https://en.wikipedia.org/wiki/New_England_Football_League,Contact information is placeholder; needs manual lookup.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,Football Team,Semi-Pro / Minor League Sports
Front-office staff at semi-pro sports teams,Northeast,Haverhill Hitmen,https://www.haverhillhitmen.com,info@haverhillhitmen.com,,Front Office Manager,https://en.wikipedia.org/wiki/New_England_Football_League,Contact information is placeholder; needs manual lookup.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,Football Team,Semi-Pro / Minor League Sports
Front-office staff at semi-pro sports teams,Northeast,Mass. Warriors,https://www.mass.warriors.com,info@mass.warriors.com,,Front Office Manager,https://en.wikipedia.org/wiki/New_England_Football_League,Contact information is placeholder; needs manual lookup.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,Football Team,Semi-Pro / Minor League Sports
Front-office staff at semi-pro sports teams,Northeast,Metro-west Golden Badgers,https://www.metro-westgoldenbadgers.com,info@metro-westgoldenbadgers.com,,Front Office Manager,https://en.wikipedia.org/wiki/New_England_Football_League,Contact information is placeholder; needs manual lookup.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,Football Team,Semi-Pro / Minor League Sports
Front-office staff at semi-pro sports teams,Northeast,Middleboro Cobras,https://www.middleborocobras.com,info@middleborocobras.com,,Front Office Manager,https://en.wikipedia.org/wiki/New_England_Football_League,Contact information is placeholder; needs manual lookup.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,Football Team,Semi-Pro / Minor League Sports
Front-office staff at semi-pro sports teams,Northeast,Middlesex County Longhorns,https://www.middlesexcountylonghorns.com,info@middlesexcountylonghorns.com,,Front Office Manager,https://en.wikipedia.org/wiki/New_England_Football_League,Contact information is placeholder; needs manual lookup.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,Football Team,Semi-Pro / Minor League Sports
